,source_origin,target_origin,source,target,weight,distance
38759,saginawbay_citymidland_mi,white_plains_ny,"Saginaw/Bay City/Midland, MI","White Plains, NY",8.0,558.0
38760,unalaska_ak,beaver_inlet_ak,"Unalaska, AK","Beaver Inlet, AK",8.0,11.0
38761,kivalina_ak,kobuk_ak,"Kivalina, AK","Kobuk, AK",8.0,213.0
38762,circle_ak,koyuk_ak,"Circle, AK","Koyuk, AK",8.0,496.0
38763,chevak_ak,kwigillingok_ak,"Chevak, AK","Kwigillingok, AK",8.0,144.0
38764,kearney_ne,scottsbluff_ne,"Kearney, NE","Scottsbluff, NE",8.0,252.0
38765,macon_ga,athens_ga,"Macon, GA","Athens, GA",8.0,88.0
38766,show_low_az,prescott_az,"Show Low, AZ","Prescott, AZ",8.0,141.0
38767,koyukuk_ak,fort_yukon_ak,"Koyukuk, AK","Fort Yukon, AK",8.0,375.0
38768,anvik_ak,huslia_ak,"Anvik, AK","Huslia, AK",8.0,241.0
38769,burbank_ca,trenton_nj,"Burbank, CA","Trenton, NJ",8.0,2413.0
38770,galena_ak,circle_hot_springs_ak,"Galena, AK","Circle Hot Springs, AK",8.0,363.0
38771,las_vegas_nv,fort_smith_ar,"Las Vegas, NV","Fort Smith, AR",8.0,1160.0
38772,denver_co,salina_ks,"Denver, CO","Salina, KS",8.0,383.0
38773,corvallis_or,seattle_wa,"Corvallis, OR","Seattle, WA",8.0,215.0
38774,amarillo_tx,seattle_wa,"Amarillo, TX","Seattle, WA",8.0,1356.0
38775,platinum_ak,hooper_bay_ak,"Platinum, AK","Hooper Bay, AK",8.0,229.0
38776,aurora_co,oakland_ca,"Aurora, CO","Oakland, CA",8.0,952.0
