YearMonth,source,target,Rides planned,Final arrival delay,Final arrival cancelled,Completely cancelled,Intermediate arrival delays,Proportion delayed,Significant Delay
2019-01,Lelystad Centrum,Venlo,60,16,0,0,54,0.26666666666666666,True
2019-01,Lelystad Centrum,Zwolle,8,1,0,0,2,0.125,False
2019-01,Maastricht,Alkmaar,542,136,41,0,390,0.25092250922509224,True
2019-01,Maastricht,Amsterdam Centraal,23,9,0,0,21,0.391304347826087,True
2019-01,Maastricht,Den Helder,66,44,3,0,65,0.6666666666666666,True
2019-01,Maastricht,Eindhoven Centraal,62,30,0,0,40,0.4838709677419355,True
2019-01,Maastricht,Enkhuizen,262,63,4,0,228,0.24045801526717558,True
2019-01,Maastricht,Hoorn,33,14,0,0,31,0.42424242424242425,True
2019-01,Maastricht,Hoorn Kersenboogerd,21,11,1,0,21,0.5238095238095238,True
2019-01,Maastricht,Schagen,110,44,13,0,92,0.4,True
2019-01,Meppel,Assen,4,2,0,0,2,0.5,True
2019-01,Meppel,Leeuwarden,799,165,7,5,199,0.20780856423173805,True
2019-01,Nijmegen,'s-Hertogenbosch,63,34,0,0,51,0.5396825396825397,True
2019-01,Nijmegen,Alkmaar,17,3,0,0,11,0.17647058823529413,False
2019-01,Nijmegen,Amsterdam Centraal,51,3,0,0,15,0.058823529411764705,False
2019-01,Nijmegen,Arnhem Centraal,167,57,3,3,65,0.3475609756097561,True
2019-01,Nijmegen,Den Helder,1057,121,17,0,850,0.11447492904446546,False
2019-01,Nijmegen,Dordrecht,158,36,4,1,125,0.22929936305732485,True
2019-01,Nijmegen,Schiphol Airport,822,162,63,54,454,0.2109375,True
2019-01,Nijmegen,Utrecht Centraal,70,16,1,1,35,0.2318840579710145,True
2019-01,Nijmegen,Wijchen,48,13,5,5,30,0.3023255813953488,True
2019-01,Nijmegen,Zutphen,245,83,2,0,142,0.33877551020408164,True
2019-01,Nijmegen,Zwolle,27,11,0,0,15,0.4074074074074074,True
2019-01,Oss,Deurne,176,80,6,0,152,0.45454545454545453,True
2019-01,Rhenen,Alkmaar,10,3,0,0,7,0.3,True
2019-01,Rhenen,Amsterdam Centraal,13,3,1,0,8,0.23076923076923078,True
2019-01,Rhenen,Breukelen,578,80,4,1,273,0.1386481802426343,False
2019-01,Rhenen,Den Helder,8,2,0,0,8,0.25,True
2019-01,Rhenen,Uitgeest,550,190,58,50,405,0.38,True
2019-01,Rhenen,Utrecht Centraal,31,6,1,1,10,0.2,True
2019-01,Roosendaal,'s-Hertogenbosch,32,7,1,1,15,0.22580645161290322,True
2019-01,Roosendaal,Amsterdam Centraal,32,19,1,0,27,0.59375,True
2019-01,Roosendaal,Arnhem Centraal,62,11,1,0,43,0.1774193548387097,False
2019-01,Roosendaal,Bergen op Zoom,22,2,0,0,2,0.09090909090909091,False
2019-01,Roosendaal,Dordrecht,883,190,7,4,856,0.2161547212741752,True
2019-01,Roosendaal,Tilburg,7,0,0,0,1,0.0,False
2019-01,Roosendaal,Vlissingen,98,34,7,7,53,0.37362637362637363,True
2019-01,Roosendaal,Zwolle,1024,326,11,0,818,0.318359375,True
2019-01,Rotterdam Centraal,Amersfoort Centraal,54,15,1,0,25,0.2777777777777778,True
2019-01,Rotterdam Centraal,Amsterdam Centraal,1380,649,154,144,889,0.5250809061488673,True
2019-01,Rotterdam Centraal,Breda,198,68,8,7,68,0.35602094240837695,True
2019-01,Rotterdam Centraal,Den Haag Centraal,42,6,3,2,16,0.15,False
2019-01,Rotterdam Centraal,Dordrecht,82,22,3,3,34,0.27848101265822783,True
2019-01,Rotterdam Centraal,Eindhoven Centraal,25,3,0,0,10,0.12,False
2019-01,Rotterdam Centraal,Gouda,28,2,0,0,2,0.07142857142857142,False
2019-01,Rotterdam Centraal,Gouda Goverwelle,370,67,45,44,187,0.20552147239263804,True
2019-01,Rotterdam Centraal,Groningen,543,101,4,1,344,0.1863468634686347,False
2019-01,Rotterdam Centraal,Leeuwarden,491,101,5,0,345,0.20570264765784113,True
2019-01,Rotterdam Centraal,Lelystad Centrum,20,5,2,2,12,0.2777777777777778,True
2019-01,Rotterdam Centraal,Rotterdam Stadion,5,0,0,0,0,0.0,False
2019-01,Rotterdam Centraal,Uitgeest,1088,332,16,2,817,0.30570902394106814,True
2019-01,Rotterdam Centraal,Utrecht Centraal,1004,181,35,33,318,0.18640576725025745,False
2019-01,Rotterdam Centraal,Vlissingen,22,15,0,0,18,0.6818181818181818,True
2019-01,Rotterdam Centraal,Zwolle,40,9,0,0,18,0.225,True
2019-01,Rotterdam Stadion,Dordrecht,4,3,0,0,4,0.75,True
2019-01,Rotterdam Stadion,Rotterdam Centraal,9,8,0,0,8,0.8888888888888888,True
2019-01,Schagen,Maastricht,176,56,3,0,159,0.3181818181818182,True
2019-01,Schiphol Airport,Almere Oostvaarders,72,20,0,0,43,0.2777777777777778,True
2019-01,Schiphol Airport,Amersfoort Centraal,21,5,0,0,7,0.23809523809523808,True
2019-01,Schiphol Airport,Amersfoort Schothorst,475,103,13,2,206,0.21775898520084566,True
2019-01,Schiphol Airport,Amsterdam Bijlmer ArenA,9,0,0,0,0,0.0,False
2019-01,Schiphol Airport,Amsterdam Centraal,153,51,6,6,61,0.3469387755102041,True
2019-01,Schiphol Airport,Amsterdam Lelylaan,57,0,57,0,0,0.0,False
2019-01,Schiphol Airport,Amsterdam Zuid,25,0,25,0,0,0.0,False
2019-01,Schiphol Airport,Den Haag Centraal,64,10,2,2,18,0.16129032258064516,False
2019-01,Schiphol Airport,Dordrecht,26,4,2,2,15,0.16666666666666666,False
2019-01,Schiphol Airport,Eindhoven Centraal,29,4,0,0,16,0.13793103448275862,False
2019-01,Schiphol Airport,Enschede,481,91,3,0,273,0.1891891891891892,True
2019-01,Schiphol Airport,Groningen,36,8,0,0,22,0.2222222222222222,True
2019-01,Schiphol Airport,Leeuwarden,35,6,0,0,22,0.17142857142857143,False
2019-01,Schiphol Airport,Leiden Centraal,14,0,14,0,0,0.0,False
2019-01,Schiphol Airport,Nijmegen,881,215,69,59,477,0.2615571776155718,True
